,team_name,fotmob_id,total_throw_ins,throw_ins_intobox,final_3rd_throw_ins,final_3rd_throw_ins_inbox,upper_quartile_throwing_length,shots_after_throw_ins,goals_after_throw_ins,total_xG,games_played,xG_per_throw_in,throw_ins_per_game,throw_ins_intobox_per_game,ratio_inbox
296,Sparta Rotterdam,8614.0,518,10.0,131,8.0,22.93,13,0.0,0.751,34,0.0014,15.235,0.294,0.061
297,Spartak Moscow,8643.0,661,84.0,219,80.0,23.5,14,1.0,0.895,30,0.0014,22.033,2.8,0.365
298,Sport Recife,6305.0,699,37.0,217,33.0,22.19,14,1.0,1.339,38,0.0019,18.395,0.974,0.152
299,Sporting,9768.0,744,8.0,230,5.0,20.627499999999998,13,2.0,1.022,46,0.0014,16.174,0.174,0.022
300,Sporting Charleroi,9986.0,573,74.0,170,73.0,24.89,24,1.0,1.084,30,0.0019,19.1,2.467,0.429
301,St. Louis City,1427963.0,549,78.0,143,68.0,23.93,18,2.0,2.191,34,0.004,16.147,2.294,0.476
302,St. Mirren,9800.0,668,99.0,198,95.0,24.28,26,1.0,1.987,33,0.003,20.242,3.0,0.48
303,St. Pauli,8152.0,717,46.0,207,42.0,21.04,17,2.0,0.661,34,0.0009,21.088,1.353,0.203
304,St.Truiden,9997.0,666,6.0,181,6.0,20.1475,14,1.0,1.584,30,0.0024,22.2,0.2,0.033
305,Standard Liege,9985.0,589,43.0,153,43.0,22.15,14,2.0,2.733,30,0.0046,19.633,1.433,0.281
306,Stevenage,10253.0,1450,150.0,325,143.0,26.6825,35,3.0,2.687,49,0.0019,29.592,3.061,0.44
307,Stockport County,10007.0,1319,33.0,334,31.0,22.49,20,3.0,2.065,51,0.0016,25.863,0.647,0.093
308,Stoke,10194.0,1108,98.0,286,93.0,24.6175,25,0.0,1.827,48,0.0016,23.083,2.042,0.325
309,Strasbourg,9848.0,540,9.0,143,8.0,21.310000000000002,11,0.0,0.661,34,0.0012,15.882,0.265,0.056
310,Sturm Graz,10014.0,186,17.0,42,17.0,20.8975,2,0.0,0.053,8,0.0003,23.25,2.125,0.405
311,Stuttgart,10269.0,810,62.0,220,54.0,22.805,25,2.0,2.235,46,0.0028,17.609,1.348,0.245
312,Sunderland,8472.0,681,139.0,211,132.0,26.07,21,2.0,1.851,39,0.0027,17.462,3.564,0.626
